track_name,track_artist,track_popularity,track_album_name,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year,release_month,release_day
Paparazzi,Lady Gaga,69,The Fame,2008-01-01,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,208307,2008,1,1
Mucha Data,Cazzu,69,Error 93,2019-06-03,0.695,0.522,8,-7.271,1,0.321,0.192,9.94e-05,0.0816,0.327,134.979,154066,2019,6,3
Usually,DaniLeigh,69,My Present,2019-12-20,0.963,0.434,11,-8.241,0,0.263,0.037,0.0,0.0898,0.645,131.932,109173,2019,12,20
Fancy,Iggy Azalea,69,The New Classic (Deluxe Version),2014-01-01,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981,199938,2014,1,1
Gypsy,Fleetwood Mac,69,Greatest Hits,1988-11-21,0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,264907,1988,11,21
Blame It on the Boogie,The Jacksons,69,Destiny,1978-12-17,0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,214200,1978,12,17
The Suburbs,Arcade Fire,69,The Suburbs,2010-01-08,0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,315200,2010,1,8
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator",69,Flower Boy,2017-07-21,0.686,0.429,8,-10.402,0,0.15,0.71,3.41e-06,0.166,0.27,130.09,194933,2017,7,21
I Need Your Love (feat. Ellie Goulding),Calvin Harris,69,18 Months,2012-10-26,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,234507,2012,10,26
Walk Me Home,P!nk,69,Hurts 2B Human,2019-04-25,0.652,0.453,1,-6.119,1,0.0445,0.0519,0.0,0.179,0.432,88.038,177391,2019,4,25
Sex With Me,Rihanna,69,ANTI (Deluxe),2016-01-28,0.58,0.532,1,-5.668,0,0.0424,0.294,0.0,0.0948,0.39,112.049,206400,2016,1,28
Na Na Na,Now United,69,Na Na Na,2019-12-20,0.917,0.62,1,-4.95,1,0.0567,0.26,0.0,0.114,0.457,106.034,185694,2019,12,20
Come & Get It,Selena Gomez,69,Stars Dance (Bonus Track Version),2013-01-01,0.546,0.787,7,-4.1,0,0.0517,0.0101,0.00021,0.0809,0.573,79.979,231987,2013,1,1
Really Don't Care,Demi Lovato,69,Demi,2013-01-01,0.706,0.728,7,-3.602,1,0.0852,0.123,0.0,0.185,0.851,121.017,201600,2013,1,1
GOLD,BROCKHAMPTON,69,SATURATION,2017-06-09,0.808,0.647,11,-6.947,0,0.166,0.0716,0.000466,0.205,0.29,110.036,266000,2017,6,9
STFU,mansionz,69,Mansionz,2017-03-24,0.822,0.471,1,-7.303,0,0.193,0.186,0.0,0.215,0.512,135.07,230878,2017,3,24
R.E.M,Ariana Grande,69,Sweetener,2018-08-17,0.831,0.485,10,-6.677,0,0.15,0.375,1.47e-05,0.118,0.622,80.022,245667,2018,8,17
First Off (feat. Travis Scott),Future,69,Future Hndrxx Presents: The WIZRD,2019-01-18,0.734,0.683,1,-6.105,1,0.0776,0.013,0.0,0.28,0.445,162.038,228367,2019,1,18
A Little Respect - 2009 Remastered Version,Erasure,69,The Innocents,1988-04-18,0.607,0.784,0,-7.963,1,0.0258,0.0299,3.85e-06,0.288,0.622,113.804,213987,1988,4,18
Love No More,Loud Luxury,69,Love No More,2018-08-31,0.766,0.674,0,-6.245,1,0.0538,0.0217,5.87e-05,0.258,0.214,121.012,168636,2018,8,31
Wanted,Hunter Hayes,69,Hunter Hayes (Encore),2011-02-27,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,228840,2011,2,27
Who Knew,P!nk,69,I'm Not Dead,2006-04-04,0.688,0.733,9,-4.569,1,0.0274,0.00462,0.0,0.0756,0.459,140.004,208493,2006,4,4
Ride (feat. Kehlani),YK Osiris,69,Ride,2019-10-04,0.691,0.621,7,-4.262,0,0.0538,0.341,0.0,0.132,0.392,132.937,205893,2019,10,4
My Shot,Lin-Manuel Miranda,69,Hamilton (Original Broadway Cast Recording),2015-09-25,0.829,0.649,8,-6.764,1,0.317,0.15,0.0,0.0904,0.569,90.936,333154,2015,9,25
Super Far,LANY,69,LANY,2017-06-30,0.575,0.46,1,-6.839,1,0.182,0.0988,0.0,0.227,0.462,95.952,203650,2017,6,30
Remember the Time,Michael Jackson,69,Dangerous,1991-11-13,0.831,0.921,5,-2.383,0,0.0581,0.153,0.00213,0.305,0.794,108.002,239227,1991,11,13
100 Shooters (feat. Meek Mill),Future,69,100 Shooters (feat. Meek Mill),2019-07-12,0.645,0.675,1,-5.282,0,0.202,0.0104,0.0,0.273,0.171,120.672,209120,2019,7,12
I Gotta Feeling,The Black Eyed Peas,69,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,289133,2009,1,1
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,69,Nothing but the Beat (Ultimate Edition),2012-12-07,0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884,194840,2012,12,7
Deja vu,Prince Royce,69,FIVE (Deluxe Edition),2017-02-24,0.732,0.801,9,-3.859,1,0.0327,0.39,0.0,0.31,0.824,123.981,196480,2017,2,24
Morning,Teyana Taylor,69,Morning,2019-11-01,0.579,0.632,3,-7.732,0,0.0918,0.677,0.0,0.0892,0.76,120.258,253947,2019,11,1
Love... (Her Fault) [feat. Bryson Tiller],Wale,69,Wow... That's Crazy,2019-10-11,0.59,0.598,7,-7.153,1,0.609,0.0697,0.0,0.112,0.34,156.073,212500,2019,10,11
People Are Strange,The Doors,69,Strange Days,1967-09-25,0.699,0.467,4,-8.578,0,0.0375,0.685,0.0,0.315,0.764,119.287,130173,1967,9,25
We Find Love,Daniel Caesar,69,Freudian,2017-08-25,0.51,0.363,5,-8.635,1,0.0304,0.853,0.0,0.109,0.426,78.0,254919,2017,8,25
The Kids Are Coming,Tones and I,69,The Kids Are Coming,2019-08-29,0.753,0.566,9,-8.21,0,0.298,0.193,6.31e-05,0.14,0.154,135.039,204521,2019,8,29
Boys Like You,Anna Clendening,69,Boys Like You,2018-06-01,0.664,0.607,2,-8.822,1,0.113,0.23,0.0,0.164,0.541,95.958,187349,2018,6,1
Years,Astrid S,69,Down Low,2019-09-26,0.664,0.285,9,-7.907,1,0.0342,0.855,0.0,0.0952,0.256,124.148,190268,2019,9,26
Ain't My Fault,Zara Larsson,69,So Good,2017-03-17,0.576,0.782,6,-4.825,0,0.0296,0.00778,0.0,0.285,0.355,141.153,224031,2017,3,17
Drunk Dialing...LODT,Summer Walker,69,Over It,2019-10-04,0.556,0.437,9,-7.194,1,0.178,0.604,0.0,0.201,0.112,125.662,134440,2019,10,4
The Way I Am,Charlie Puth,69,Voicenotes,2018-05-11,0.755,0.769,10,-5.658,0,0.186,0.314,2.38e-06,0.0628,0.642,114.966,186080,2018,5,11
Tu Príncipe,Daddy Yankee,69,Barrio Fino (Bonus Track Version),2004-07-13,0.771,0.815,1,-5.423,0,0.0719,0.161,2.01e-05,0.189,0.524,94.016,205520,2004,7,13
Single Ladies (Put a Ring on It),Beyoncé,69,I AM...SASHA FIERCE,2008-11-14,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213,2008,11,14
Arrogante,Irama,69,Arrogante,2019-05-24,0.722,0.772,11,-5.71,1,0.0458,0.154,0.0,0.337,0.687,102.009,196471,2019,5,24
She Looks So Perfect,5 Seconds of Summer,69,5 Seconds Of Summer,2014-06-27,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,202496,2014,6,27
Mambo Salentino,Boomdabash,69,Mambo Salentino,2019-06-07,0.906,0.662,3,-6.707,0,0.319,0.248,0.0,0.067,0.863,100.035,155414,2019,6,7
Me Mata,Bad Bunny,69,Me Mata,2017-04-11,0.841,0.53,9,-11.467,1,0.205,0.551,0.0,0.119,0.686,114.028,412632,2017,4,11
Nostalgic,A R I Z O N A,69,ASYLUM,2019-10-11,0.691,0.538,0,-9.952,1,0.103,0.246,0.163,0.178,0.329,99.972,182668,2019,10,11
Pretend,CNCO,69,Pretend,2019-02-15,0.68,0.883,11,-3.862,0,0.103,0.284,0.0,0.14,0.834,101.983,200566,2019,2,15
Fire Burning,Sean Kingston,69,Tomorrow,2009-09-04,0.839,0.804,1,-2.513,1,0.0329,0.0192,0.0,0.331,0.888,122.973,239987,2009,9,4
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,69,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016-09-30,0.815,0.514,6,-9.446,0,0.361,0.54,0.0,0.611,0.623,120.054,264000,2016,9,30
Lost,Blake Rose,69,Lost,2019-02-08,0.595,0.687,4,-6.536,1,0.0486,0.216,0.0,0.107,0.508,94.73,234623,2019,2,8
Hollaback Girl,Gwen Stefani,69,Love Angel Music Baby,2004-11-22,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,199853,2004,11,22
Ode To My Family,The Cranberries,69,No Need To Argue,1994-10-03,0.364,0.45,7,-10.117,1,0.0234,0.0593,1.65e-06,0.282,0.14,94.188,270707,1994,10,3
Missing You,John Waite,69,No Brakes,1984-01-01,0.552,0.552,11,-9.736,0,0.0364,0.052,0.0,0.046,0.593,208.571,269760,1984,1,1
My Nigga,YG,69,My Krazy Life (Deluxe),2014-01-01,0.673,0.464,10,-6.864,0,0.201,0.0933,0.0,0.21,0.762,171.043,235600,2014,1,1
Noche De Sexo,Wisin & Yandel,69,Pa'l Mundo,2005-01-01,0.686,0.722,2,-5.4,1,0.256,0.108,0.0,0.494,0.515,94.006,205707,2005,1,1
I Kissed A Girl,Katy Perry,69,One Of The Boys,2008-06-17,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,179640,2008,6,17
Owner of a Lonely Heart,Yes,69,90125 (Deluxe Version),1983-06-01,0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,268507,1983,6,1
I Don't Dance,Lee Brice,69,I Don't Dance (Deluxe Edition),2014-09-09,0.587,0.559,1,-7.742,1,0.0321,0.399,6.69e-06,0.0992,0.19,92.036,221173,2014,9,9
Somebody,The Chainsmokers,69,Sick Boy,2018-12-14,0.32,0.63,10,-7.019,0,0.0493,0.192,0.0,0.102,0.323,203.443,221987,2018,12,14
Como Así (feat. CNCO),Lali,69,Como Así (feat. CNCO),2019-11-08,0.661,0.676,5,-6.377,1,0.139,0.134,1.68e-06,0.109,0.494,171.951,184889,2019,11,8
Tu Amor Me Hace Bien - Salsa Version,Marc Anthony,69,Valio La Pena,2004-07-27,0.691,0.658,0,-6.496,1,0.0359,0.398,4.58e-05,0.112,0.617,97.68,300160,2004,7,27
Be Yourself,Audioslave,69,Out of Exile,2005-01-01,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,278973,2005,1,1
In My Head,Jason Derulo,69,Jason Derulo (International),2010-02-26,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,199027,2010,2,26
Somebody,Sigala,69,Brighter Days,2018-09-28,0.675,0.849,0,-3.841,1,0.0675,0.0938,0.0,0.121,0.681,100.111,238667,2018,9,28
NO,Meghan Trainor,69,Thank You (Deluxe Version),2017-05-12,0.557,0.801,1,-3.602,0,0.218,0.0125,1.66e-06,0.737,0.654,92.135,213507,2017,5,12
Beverly Hills,Weezer,69,Make Believe,2005-05-10,0.693,0.823,5,-3.761,1,0.0726,0.0932,0.0,0.328,0.741,87.904,196093,2005,5,10
Talento De Televisión,Willie Colón,69,Mis Favoritas,2010-06-07,0.779,0.796,2,-6.675,1,0.0434,0.701,3.99e-05,0.0636,0.938,104.947,279320,2010,6,7
Dat $tick,Rich Brian,69,Dat $tick,2016-03-11,0.923,0.508,1,-8.668,1,0.0468,0.104,1.21e-05,0.126,0.168,108.039,126667,2016,3,11
Fuego,Ozuna,69,Nibiru,2019-11-29,0.844,0.618,5,-5.133,0,0.0685,0.139,0.000309,0.148,0.604,91.017,191467,2019,11,29
Wicked Game,Chris Isaak,69,Best of Chris Isaak (Remastered),2006-08-17,0.667,0.548,9,-7.802,1,0.0262,0.744,0.0122,0.0946,0.29,112.549,286880,2006,8,17
Slide,The Goo Goo Dolls,69,Dizzy up the Girl,1998-09-11,0.395,0.843,8,-4.476,1,0.0374,0.00483,0.0,0.0404,0.481,112.423,212067,1998,9,11
Remedy,Seether,69,Karma and Effect,2005-01-01,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,207213,2005,1,1
Cold Water,Major Lazer,69,Cold Water,2016-07-22,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,185360,2016,7,22
Broken,Seether,69,Disclaimer II,2004-01-01,0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333,2004,1,1
Therapy,Timmy Trumpet,69,Therapy,2019-10-31,0.504,0.896,10,-6.249,0,0.044,0.00183,0.0284,0.134,0.0393,149.936,150753,2019,10,31
Erase Me - Main,Kid Cudi,69,Man On The Moon II: The Legend Of Mr. Rager,2010-01-01,0.688,0.631,9,-5.612,1,0.13,0.063,0.0,0.108,0.854,186.066,192253,2010,1,1
Yo También,Romeo Santos,69,"Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,0.645,0.786,4,-4.248,0,0.0566,0.396,0.0,0.111,0.738,91.459,306453,2014,2,25
Drop It,Tujamo,69,Drop It,2019-09-13,0.747,0.897,5,-4.257,0,0.0642,0.0104,0.763,0.0541,0.177,126.036,175714,2019,9,13
White Rabbit,Jefferson Airplane,69,Surrealistic Pillow,1967-06-01,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,150640,1967,6,1
Mi primer millon,Bacilos,69,Caraluna,2002-06-25,0.745,0.924,5,-3.898,1,0.0355,0.201,5.01e-05,0.121,0.909,103.033,237387,2002,6,25
Algo Me Gusta De Ti,Wisin & Yandel,69,Líderes,2012-01-01,0.627,0.768,11,-5.296,0,0.0325,0.00291,0.0,0.0598,0.237,127.953,274947,2012,1,1
Knights of Cydonia,Muse,69,Black Holes and Revelations,2006-06-19,0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,366213,2006,6,19
C U Girl,Steve Lacy,69,C U Girl,2015-02-15,0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100.0,129698,2015,2,15
Hysteria,Muse,69,Absolution,2004-03-23,0.412,0.92,9,-4.852,0,0.0575,0.000456,0.0026,0.11,0.455,93.162,227440,2004,3,23
Alaska,Maggie Rogers,69,Heard It In A Past Life,2019-01-18,0.847,0.386,9,-10.668,0,0.0507,0.411,0.00176,0.108,0.178,104.001,188000,2019,1,18
Lie,Lukas Graham,69,Lie,2019-09-27,0.582,0.614,5,-4.771,1,0.0504,0.0361,0.0,0.0926,0.3,92.326,179842,2019,9,27
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,69,Old Thing Back (feat. Ja Rule and Ralph Tresvant),2015-02-17,0.805,0.858,0,-3.067,1,0.105,0.194,7.89e-06,0.256,0.523,97.033,321649,2015,2,17
Obsessed,Dynoro,69,Obsessed,2019-03-22,0.582,0.826,11,-4.599,0,0.0612,0.0614,2.7e-06,0.108,0.201,117.948,209933,2019,3,22
Hunnybee,Unknown Mortal Orchestra,69,Sex & Food,2018-04-06,0.956,0.373,6,-7.963,1,0.0773,0.569,0.394,0.314,0.568,119.994,268333,2018,4,6
Garden (Say It Like Dat),SZA,69,Ctrl,2017-06-09,0.727,0.456,9,-7.26,1,0.285,0.0705,0.0,0.124,0.548,111.331,208400,2017,6,9
1985,Bowling For Soup,69,A Hangover You Don't Deserve,2004-09-28,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974,193000,2004,9,28
Electric (feat. Khalid),Alina Baraz,69,Electric (feat. Khalid),2017-01-20,0.599,0.396,10,-10.489,0,0.0392,0.738,2.19e-05,0.102,0.134,111.072,246327,2017,1,20
Shea Butter Baby (with J. Cole),Ari Lennox,69,Shea Butter Baby,2019-05-07,0.709,0.49,4,-7.457,0,0.0757,0.11,0.00345,0.12,0.0397,155.069,211610,2019,5,7
Tiene Espinas El Rosal,Grupo Cañaveral De Humberto Pabón,69,"Grupo Cañaveral, Vol. III",1997-01-01,0.68,0.423,11,-11.112,0,0.136,0.0343,0.0,0.0925,0.822,169.184,237960,1997,1,1
Y U Gotta B Like That,Audrey Mika,69,Y U Gotta B Like That,2019-06-02,0.732,0.413,9,-6.353,1,0.0702,0.287,0.0,0.0565,0.761,92.066,154456,2019,6,2
We Got That Cool (feat. Afrojack & Icona Pop),Yves V,69,We Got That Cool (feat. Afrojack & Icona Pop),2019-06-28,0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.208,0.611,124.01,213000,2019,6,28
Guerrilla Radio,Rage Against The Machine,69,The Battle Of Los Angeles,1999-11-02,0.599,0.957,11,-5.764,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68,206200,1999,11,2
Calypso,Luis Fonsi,69,Calypso,2018-06-14,0.866,0.859,1,-3.087,0,0.0587,0.138,0.0,0.401,0.923,109.972,200347,2018,6,14
Somebody To Love - 2011 Mix,Queen,69,Bohemian Rhapsody (The Original Soundtrack),2018-10-19,0.466,0.698,8,-6.967,1,0.0629,0.164,0.0,0.127,0.349,109.772,295733,2018,10,19
Sin Culpa (feat. DrefQuila),Duki,69,Sin Culpa (feat. DrefQuila),2018-12-07,0.641,0.652,8,-8.575,0,0.264,0.42,1.74e-06,0.094,0.406,175.022,244771,2018,12,7
Make Me (Cry),Noah Cyrus,69,Make Me (Cry),2016-11-15,0.588,0.471,0,-7.287,1,0.0577,0.592,0.00146,0.0733,0.209,152.881,242081,2016,11,15
Crown,Stormzy,69,Crown,2019-06-21,0.542,0.581,9,-5.687,1,0.159,0.701,1.02e-06,0.0741,0.0857,108.909,213464,2019,6,21
If I Could Fly,One Direction,69,Made In The A.M. (Deluxe Edition),2015-11-13,0.565,0.245,5,-9.132,1,0.0262,0.781,0.0,0.0998,0.307,75.055,230320,2015,11,13
Happy,Oh Wonder,69,Happy,2020-01-03,0.698,0.516,6,-8.472,1,0.0331,0.454,0.0,0.0922,0.516,101.979,172907,2020,1,3
"¿CÓMO TE VA, QUERIDA?",Rels B,69,Happy Birthday Flakko,2019-10-17,0.929,0.547,4,-6.491,1,0.143,0.199,1.11e-06,0.337,0.933,141.97,207957,2019,10,17
Livin' Thing,Electric Light Orchestra,69,A New World Record,1976-09-01,0.549,0.651,0,-7.097,1,0.0323,0.583,0.0,0.121,0.368,122.818,212307,1976,9,1
When I'm Gone,3 Doors Down,69,Away From The Sun,2002-01-01,0.496,0.765,7,-5.66,1,0.033,0.00457,0.0,0.104,0.337,74.072,260507,2002,1,1
Bad Company,Five Finger Death Punch,69,War Is the Answer,2009-09-22,0.557,0.886,11,-4.196,0,0.0498,0.000595,9.84e-05,0.0904,0.17,114.025,262440,2009,9,22
She Hates Me,Puddle Of Mudd,69,Come Clean,2001-08-28,0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,216760,2001,8,28
Sweater Weather,Gaullin,69,Sweater Weather,2019-11-01,0.57,0.873,5,-5.188,0,0.07,0.00853,0.0,0.365,0.236,125.086,171133,2019,11,1
Falling Away from Me,Korn,69,Issues,1999-11-09,0.468,0.769,4,-7.036,1,0.041,0.00014,0.00124,0.271,0.17,104.102,270920,1999,11,9
Ex Calling,6LACK,69,FREE 6LACK,2016-11-18,0.773,0.564,1,-7.241,1,0.249,0.00561,1.99e-05,0.213,0.0588,155.976,211960,2016,11,18
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,69,Prayer,2014-09-16,0.76,0.886,9,-5.356,0,0.0258,0.0219,7.43e-06,0.623,0.78,123.002,189399,2014,9,16
I Wanna Rock,Twisted Sister,69,Stay Hungry,1984-09-05,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,179760,1984,9,5
Esperándote,Manuel Turizo,69,Esperándote,2017-12-07,0.697,0.648,7,-7.123,1,0.128,0.425,0.0,0.191,0.313,186.125,199813,2017,12,7
I'll Stand by You,Pretenders,69,Last Of The Independents,1994-06-01,0.438,0.606,7,-6.549,1,0.0305,0.3,4.49e-06,0.0754,0.266,133.822,240760,1994,6,1
Crew Love,Drake,69,Take Care (Deluxe),2011-11-15,0.418,0.546,0,-9.057,0,0.238,0.227,0.0,0.229,0.294,160.152,208813,2011,11,15
Limelight,Rush,69,Moving Pictures (2011 Remaster),1981-02-12,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840,1981,2,12
Broccoli,DRAM,69,Broccoli,2016-04-06,0.886,0.525,8,-7.39,1,0.132,0.236,0.0,0.057,0.708,145.99,225205,2016,4,6
My Way,Limp Bizkit,69,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,0.576,0.864,6,-3.981,1,0.0462,0.02,1.68e-06,0.683,0.609,97.225,272973,2000,10,17
Breathe,CamelPhat,69,Breathe,2018-11-16,0.595,0.877,9,-7.414,0,0.0442,0.00646,0.0879,0.398,0.081,125.015,194233,2018,11,16
Andar Conmigo,Julieta Venegas,69,Si,2003-11-18,0.77,0.585,0,-8.06,1,0.0285,0.3,0.0,0.116,0.912,116.994,193373,2003,11,18
"Ay MI Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,69,"Ay MI Dios (feat. Pitbull, Yandel & Chacal)",2016-02-22,0.761,0.829,0,-3.203,0,0.0681,0.167,0.0,0.189,0.813,92.033,252003,2016,2,22
24H,Kidd Keo,69,24H,2019-11-29,0.939,0.686,8,-5.744,1,0.236,0.702,0.000547,0.114,0.691,96.99,163607,2019,11,29
Just What I Needed,The Cars,69,The Cars,1978-06-06,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,225627,1978,6,6
Simple Man,Lynyrd Skynyrd,69,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01,0.422,0.752,6,-8.682,1,0.0449,0.0366,0.000119,0.129,0.403,120.471,356627,1973,1,1
Riot,Three Days Grace,69,One-X,2006-06-25,0.185,0.948,8,-3.892,1,0.147,0.0104,0.0,0.105,0.316,196.578,207587,2006,6,25
Habits (Stay High),Tove Lo,69,Queen Of The Clouds,2014-09-24,0.733,0.65,5,-3.539,1,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,209160,2014,9,24
Beneath Your Beautiful,Labrinth,69,Electronic Earth,2012-03-30,0.558,0.522,2,-5.857,1,0.036,0.228,0.0,0.104,0.228,83.977,271813,2012,3,30
Peace of Mind,Boston,69,Boston,1976-08-08,0.421,0.677,4,-6.183,1,0.0343,0.000989,9.65e-05,0.211,0.683,127.67,303587,1976,8,8
How Soon Is Now? - 2011 Remaster,The Smiths,69,Hatful of Hollow,1984-03-05,0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,408173,1984,3,5
Drop That Low (When I Dip),Tujamo,69,Drop That Low (When I Dip),2016-04-01,0.586,0.896,5,-4.132,0,0.372,0.00945,0.836,0.121,0.103,125.744,160000,2016,4,1
All Night (feat. Knox Fortune),Chance the Rapper,69,Coloring Book,2016-05-27,0.704,0.777,2,-5.729,1,0.195,0.0358,0.0,0.151,0.392,111.921,141542,2016,5,27
Going Under,Evanescence,69,Fallen,2003-01-01,0.37,0.858,11,-4.885,0,0.0545,0.00815,2.12e-05,0.229,0.464,175.077,214947,2003,1,1
Better Half of Me,Tom Walker,69,What a Time To Be Alive (Deluxe Edition),2019-11-08,0.586,0.447,3,-4.699,1,0.0287,0.816,0.0,0.277,0.441,107.851,195452,2019,11,8
Who's,Jacquees,69,Who's,2019-05-24,0.693,0.573,10,-7.652,0,0.22,0.0142,0.0,0.0372,0.457,129.931,185893,2019,5,24
Real Muthaphuckkin' G's,Eazy-E,69,Gangsta Memorial,2007-01-01,0.724,0.853,11,-3.895,0,0.283,0.0164,0.0,0.65,0.775,170.51,332733,2007,1,1
True Colors,The Weeknd,69,Starboy,2016-11-25,0.624,0.424,1,-8.237,1,0.24,0.284,0.0,0.173,0.584,76.669,206013,2016,11,25
Through The Wire,Kanye West,69,The College Dropout,2004-02-10,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,221227,2004,2,10
Everybody,Logic,69,Everybody,2017-05-05,0.885,0.94,1,-5.908,1,0.0909,0.158,0.0,0.0675,0.77,110.005,162347,2017,5,5
Bow Down,I Prevail,69,TRAUMA,2019-03-29,0.426,0.959,0,-4.95,1,0.0525,5.36e-05,6.54e-06,0.707,0.372,155.01,242680,2019,3,29
Six Feet Under,The Weeknd,69,Starboy,2016-11-25,0.772,0.504,6,-8.219,0,0.0761,0.129,0.0,0.125,0.244,140.035,237573,2016,11,25
Everlong - Acoustic Version,Foo Fighters,69,Greatest Hits,2009-11-03,0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,250907,2009,11,3
I Get Around,2Pac,69,Strictly 4 My N.I.G.G.A.Z...,1993-02-16,0.846,0.416,10,-13.767,0,0.118,0.156,9.34e-06,0.238,0.645,96.188,259000,1993,2,16
Pressure,Muse,69,Simulation Theory (Super Deluxe),2018-11-09,0.622,0.842,11,-3.678,0,0.0609,0.00342,0.00014,0.0575,0.724,136.041,235600,2018,11,9
Chillax (feat. Ky-Mani Marley),Farruko,69,Visionary,2015-10-23,0.827,0.646,1,-4.727,0,0.0766,0.0724,0.0,0.247,0.512,92.057,197840,2015,10,23
50 Ways to Leave Your Lover,Paul Simon,69,Still Crazy After All These Years,1975-10-25,0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,217347,1975,10,25
Inside Out,Five Finger Death Punch,69,Inside Out,2019-12-02,0.476,0.991,4,-2.855,0,0.15,0.00191,0.0,0.121,0.202,82.997,226349,2019,12,2
Rich Love (with Seeb),OneRepublic,69,Rich Love,2017-07-14,0.401,0.872,1,-3.641,0,0.314,0.167,0.0,0.362,0.472,104.592,201257,2017,7,14
Dancing in the Moonlight,Toploader,69,Dancing In The Moonlight: The Best Of Toploader,2009-04-22,0.639,0.845,10,-3.333,1,0.0372,0.0528,0.0,0.336,0.871,119.485,233373,2009,4,22
Call Me,Blondie,69,Atomic/Atomix,1999-01-01,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,212600,1999,1,1
Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,69,Girls Have Fun (feat. G-Eazy & Rich The Kid),2019-01-23,0.888,0.74,8,-5.363,1,0.238,0.00586,0.0,0.218,0.664,100.003,175711,2019,1,23
21 Questions,50 Cent,69,Get Rich Or Die Tryin',2003-02-06,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427,2003,2,6
Stairway to Heaven - 1990 Remaster,Led Zeppelin,69,Led Zeppelin IV,1971-11-08,0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,478173,1971,11,8
Come Home To Me,LÉON,69,LÉON,2019-03-01,0.66,0.193,11,-8.904,1,0.0725,0.953,0.0,0.0953,0.296,82.035,225868,2019,3,1
